;0
make;1.26
address;3.27
all;2.27
3d;0.04
our;2.94
over;1.21
remove;1.96
internet;1.62
order;1.33
mail;2.65
receive;1.02
will;4.1
people;1.44
report;1.49
addresses;1.61
free;3.26
business;2.32
email;2.23
you;7.31
credit;2.54
your;5.26
font;6.75
000;1.62
money;1.31
hp;8.69
hpl;4.16
george;20.0
650;2.81
lab;2.32
labs;2.32
telnet;1.56
857;1.2
data;2.35
415;1.2
85;2.27
technology;1.72
1999;1.92
parts;0.19
pm;1.72
direct;1.58
cs;1.44
meeting;3.84
original;1.11
project;2.04
re;4.16
edu;4.16
table;0.04
conference;0.9
";";0.645
(;1.03
[;0.284
!;2.631
$;0.894
#;0.763
capital_run_length_average;44.72
capital_run_length_longest;669.0
capital_run_length_total;3027.0
spa;1.0
